"year_winter","ws_count_sic_ge95","winter_count_sic_ge95","spring_count_sic_ge95","ws_count_sic_le15","winter_count_sic_le15","spring_count_sic_le15","ws_index","winter_index","spring_index"
1992,63,57,6,39,35,4,178.241547093573,159.911888654961,10.7505568153683
1993,55,46,9,45,45,0,107.063596521689,76.3235480092393,19.775021196026
1994,85,80,5,36,36,0,266.451606063971,259.520134258371,6.93147180559945
1995,68,61,7,50,49,1,225.409313495606,210.401648091099,15.0076654045071
1996,58,44,14,64,63,1,136.294414007977,91.6290065092156,31.2051741585759
1997,80,67,13,48,48,0,282.61986563104,232.399332346028,26.3768480007821
1998,77,60,17,60,60,0,273.669604689647,232.040670847909,39.7193913368534
1999,86,75,11,27,27,0,211.407913602248,170.342330912416,33.344341647
2000,14,0,14,109,106,3,52.026691642131,0,52.026691642131
2001,71,53,18,43,43,0,183.459213868607,140.446833534386,43.0123803342208
2002,45,39,6,74,70,4,125.38856526341,119.320139675165,4.68213122712422
2003,42,39,3,70,70,0,96.032435407727,92.7365985417226,3.29583686600433
2004,45,32,13,63,59,4,91.9024309824014,62.0835511849454,29.818879797456
2005,90,77,13,33,33,0,293.28642233913,251.760503702957,27.763142361902
2006,64,54,10,54,54,0,190.652867004887,167.627016074946,16.094379124341
2007,77,49,28,54,54,0,249.829738780652,135.478658388182,102.035921449865
2008,81,58,23,48,48,0,215.140470049433,134.668574427728,80.471895621705
2009,96,67,29,43,43,0,324.207887680381,182.741560795928,102.035921449865
2010,77,56,21,63,60,3,233.199782432784,146.647866242834,63.9349711921919
2011,76,53,23,45,45,0,208.566002330878,134.202252907411,76.2732919283507
2012,83,59,24,44,44,0,244.125776395667,181.348527938168,62.7772484574993
2013,47,40,7,64,55,9,113.781658149053,98.0691965005883,9.43348392329039
2014,22,15,7,93,89,4,36.5489964675486,27.7079821570647,8.84101431048389
2015,21,16,5,91,79,12,29.6175246619491,21.5703350997786,8.0471895621705
2016,31,29,2,102,93,9,87.4033674273045,79.0478387719699,1.38629436111989
2017,0,0,0,160,130,30,0,0,0
2018,8,8,0,104,79,25,15.0076654045071,15.0076654045071,0
2019,39,38,1,78,73,5,80.1566942832128,78.2471517783284,0
2020,69,51,18,72,72,0,222.915442632691,166.971102028529,57.3306349652823
2021,58,54,4,64,63,1,192.531036427681,191.667990210326,4.68213122712422
2022,63,50,13,63,63,0,160.879852047861,139.009936306797,24.3719278587555
2023,75,58,17,50,50,0,178.050551735789,153.392778365836,30.5095749160416
